Unit_Name_1,Score
santa clara univ,25.93376623
emerson coll,25.89285714
no illinois univ,25.86666667
univ technol sydney,25.73333333
univ essex,25.67222222
univ virginia,25.31666667
univ new s wales,25.2539072
emory univ,25.23882784
victoria univ wellington,25
univ bologna,24.87857143
brunel univ,24.825
univ liverpool,24.77142857
natl sun yat sen univ,24.76666667
univ basque country,24.73333333
middle tennessee state univ,24.65833333
univ hawaii,24.53376623
univ warwick,24.40833333
univ witwatersrand,24.4
univ south carolina,24.35238095
univ granada,24.12051282
univ navarra,24.11111111
univ autonoma barcelona,23.85238095
n dakota state univ,23.83333333
univ duisburg essen,23.67142857
univ otago,23.66666667
copenhagen business sch,23.45238095
univ ottawa,23.41349206
griffith univ,23.31666667
murdoch univ,23.13571429
univ tasmania,22.83333333
princeton univ,22.75952381
univ edinburgh,22.6
fordham univ,22.5
univ adelaide,22.25
univ calif riverside,22.24166667
towson univ,22.24166667
univ waterloo,22.05833333
calif state univ long beach,22.02202381
univ cape town,22
carleton univ,22
sodertorn univ,21.91666667
chung ang univ,21.78333333
james madison univ,21.57738095
north carolina state univ,21.36666667
suny stony brook,21.33333333
univ maine,21.26666667
univ malaga,21.14285714
mit,21.11666667
so methodist univ,20.97619048
univ leipzig,20.87142857
univ new hampshire,20.85
univ so mississippi,20.61666667
pontificia univ catolica chile,20.61666667
univ w england,20.43882784
australian natl univ,20.42916667
natl chiao tung univ,20.36666667
univ southampton,20.30119048
univ rey juan carlos,20.22916667
ewha womans univ,20.15
linkoping univ,20.13333333
elon univ,20.00694444
univ san francisco,19.98717949
stockholm sch econ,19.95
univ texas arlington,19.86666667
rochester inst technol,19.81666667
univ texas san antonio,19.81349206
montclair state univ,19.70833333
korea adv inst sci &amp; technol,19.7
uppsala univ,19.63888889
univ bath,19.62619048
howard univ,19.5
ryerson univ,19.49126984
univ carlos iii madrid,19.33333333
curtin univ technol,19.33333333
swinburne univ technol,19.29166667
tsinghua univ,19.29166667
appalachian state univ,19.225
univ hohenheim,19.14444444
univ valencia,19
univ strathclyde,18.97222222
it univ copenhagen,18.95
baylor univ,18.91666667
univ paris,18.74761905
univ minnesota twin cities,18.73333333
univ calif san francisco,18.67448107
univ so denmark,18.66666667
london sch econ,18.625
curtin univ,18.58333333
dartmouth coll,18.4952381
cent michigan univ,18.4797619
univ birmingham,18.45
univ turku,18.32692308
west virginia univ,18.28888889
univ hamburg,18.17619048
fudan univ,18.11666667
auckland univ technol,17.83333333
univ wollongong,17.725
coll charleston,17.65952381
texas state univ,17.55952381
ball state univ,17.41666667
univ rhode isl,17.33333333
westat corp,17.21560384
univ wales coll cardiff,17.16666667
johns hopkins bloomberg sch publ hlth,16.94177489
mcmaster univ,16.75
univ north carolina chapel hill,16.73596404
univ western sydney,16.61362943
univ leuven,16.56944444
coventry univ,16.53333333
univ bristol,16.52619048
univ dayton,16.51944444
aalto univ,16.47142857
umea univ,16.33333333
kyung hee univ,16.25
la trobe univ,16.23333333
chapman univ,16.21709957
oregon state univ,16.20952381
oklahoma state univ,16.1
loyola marymount univ,16.03333333
univ sunshine coast,16.00535714
zhejiang univ,15.88333333
new mexico state univ,15.87619048
univ rovira &amp; virgili,15.83333333
univ canterbury,15.83333333
norwegian univ sci &amp; technol,15.73862943
washington univ,15.44484127
univ mainz,15.33333333
univ coll dublin,15.15
pompeu fabra univ,15.08333333
san francisco state univ,15.07619048
univ lausanne,15.075
us bur census,15.01944444
leeds metropolitan univ,15.01666667
newcastle univ,15
univ san diego,14.91666667
univ bern,14.82222222
maastricht univ,14.81666667
univ vermont,14.80952381
roskilde univ,14.79285714
tufts univ,14.725
univ valladolid,14.66666667
univ western australia,14.66666667
utah state univ,14.61785714
univ montana,14.61666667
univ pretoria,14.43225806
hong kong polytech univ,14.33333333
boise state univ,14.27777778
vrije univ brussel,14.00757576
univ akron,14
aalborg univ,14
univ bremen,13.95
univ geneva,13.94166667
univ exeter,13.93809524
univ huelva,13.75
hallym univ,13.74285714
charles univ prague,13.61666667
univ fribourg,13.25
kingston univ,13.21785714
univ athens,13.18307387
fairfield univ,13.14285714
univ salamanca,13.13888889
chalmers,13.08333333
mississippi state univ,13.02738095
mem sloan kettering canc ctr,12.9633658
univ minho,12.95
univ wyoming,12.93333333
univ new south wales,12.88333333
univ salford,12.74696276
univ cent lancashire,12.7
oakland univ,12.66944444
claremont grad univ,12.66666667
univ koblenz landau,12.63333333
univ erfurt,12.61666667
univ perugia,12.60119048
brock univ,12.58888889
eindhoven univ technol,12.58333333
northumbria univ,12.56666667
indiana univ purdue univ,12.53888889
univ st gallen,12.48333333
wilfrid laurier univ,12.47619048
univ lugano,12.43571429
wolverhampton univ,12.41666667
natl chung hsing univ,12.41666667
univ ulster,12.33333333
univ london goldsmiths coll,12.33333333
univ milan,12.32068071
univ manitoba,12.31666667
de montfort univ,12.26666667
univ wisconsin milwaukee,12.23333333
univ quebec,12.18333333
univ london imperial coll sci technol &amp; med,12.18333333
hankuk univ foreign studies,12.16666667
queens univ,12.13333333
univ saskatchewan,12.03333333
ie univ,12
univ murcia,11.98333333
xavier univ,11.91666667
aristotle univ thessaloniki,11.91666667
univ tokyo,11.89101038
univ autonoma madrid,11.75
univ dusseldorf,11.74166667
univ buenos aires,11.73333333
univ limerick,11.65833333
nottingham trent univ,11.53333333
univ zagreb,11.5
renmin univ china,11.41666667
sam houston state univ,11.41666667
athens univ econ &amp; business,11.4
univ colorado boulder,11.36666667
univ cologne,11.35714286
case western reserve univ,11.33333333
univ rochester,11.28928571
univ zaragoza,11.27777778
univ newcastle,11.25952381
georgia inst technol,11.25
univ e london,11.25
bloomsburg univ penn,11.25
kookmin univ,11.25
univ brighton,11.25
huazhong univ sci &amp; technol,11.22380952
univ texas pan amer,11.2
rhodes univ,11.2
univ sao paulo,11.16666667
eastern illinois univ,11.16666667
netanya acad coll,11.11111111
monmouth univ,11.08333333
univ guelph,11.04166667
yeungnam univ,11.01666667
shih hsin univ,11
univ oviedo,10.93333333
sun yat sen univ,10.89285714
univ laval,10.76190476
univ north texas,10.725
univ reading,10.61111111
sogang univ,10.54285714
univ victoria,10.51666667
fairleigh dickinson univ,10.5
denison univ,10.5
western illinois univ,10.49166667
univ n dakota,10.41666667
univ roma la sapienza,10.39761905
no arizona univ,10.33333333
univ lisbon,10.31666667
univ svizzera italiana,10.31465201
humboldt univ,10.24761905
northwestern univ qatar,10.16666667
univ augsburg,10.11666667
goldsmiths univ london,10.08942308
waseda univ,10.01666667
univ tartu,10.01623932
de paul univ,10
loyola univ maryland,9.983333333
shanghai jiao tong univ,9.95
univ texas dallas,9.902020202
open univ catalonia,9.888888889
western washington univ,9.833333333
telecom paristech,9.80952381
univ alabama birmingham,9.802777778
rensselaer polytech inst,9.785714286
loyola univ,9.783333333
autonomous univ barcelona,9.783333333
free univ amsterdam,9.75
univ almeria,9.75
univ portsmouth,9.75
indiana univ se,9.733333333
chinese culture univ,9.7
univ warsaw,9.666666667
sw texas state univ,9.583333333
univ barcelona,9.569047619
sookmyung womens univ,9.566666667
univ freiburg,9.533333333
sheffield hallam univ,9.5
univ jaume,9.5
creighton univ,9.483333333
wageningen univ,9.466666667
dalhousie univ,9.45
rand corp,9.436507937
san jose state univ,9.416666667
univ massachusetts amherst,9.4
commun univ china,9.333333333
queen mary univ london,9.333333333
brown univ,9.328354978
univ hull,9.316666667
aston univ,9.30952381
univ lethbridge,9.306818182
univ santiago de compostela,9.266666667
amsterdam sch commun res,9.25
pace univ,9.226190476
univ macau,9.2
hofstra univ,9.2
ariel univ,9.183333333
missouri sch journalism,9.166666667
radford univ,9.125
calif state univ northridge,9.119047619
yuan ze univ,9.083333333
univ alicante,9.083333333
dana farber canc inst,9.078700874
manchester metropolitan univ,9.033333333
cent washington univ,9.033333333
univ hartford,9.033333333
lingnan univ,9.033333333
univ oberta catalunya,8.978571429
qatar univ,8.966666667
singapore management univ,8.916666667
european univ viadrina,8.916666667
univ durham,8.916666667
peking univ,8.844444444
calif state polytech univ pomona,8.783333333
natl chung cheng univ,8.75
duquesne univ,8.71025641
calif polytech state univ san luis obispo,8.676190476
dongguk univ,8.673809524
univ huddersfield,8.666666667
beijing univ posts &amp; telecommun,8.666666667
washington &amp; lee univ,8.666666667
univ malaya,8.65
virginia polytech inst &amp; state univ,8.633333333
univ johannesburg,8.583333333
gesis leibniz inst social sci,8.547619048
european univ inst,8.535353535
univ jena,8.516666667
cuny coll staten isl,8.5
long isl univ,8.5
abo akad univ,8.5
indiana univ bloomington,8.5
univ oulu,8.483333333
univ wurzburg,8.471428571
westerdals oslo sch arts commun &amp; technol,8.416666667
queens univ belfast,8.416666667
univ diego portales,8.35952381
suffolk univ,8.333333333
charles sturt univ,8.333333333
us fda,8.322771673
univ winnipeg,8.316666667
natl cheng kung univ,8.3
masaryk univ,8.291666667
natl taiwan univ,8.25
coll william &amp; mary,8.25
royal holloway univ london,8.2
missouri state univ,8.2
univ chile,8.166666667
univ padua,8.161111111
new sch social res,8.088888889
canc council victoria,8.021428571
univ sharjah,8
state univ ghent,8
univ toulouse,7.993589744
univ porto,7.85
catholic univ louvain,7.811111111
rice univ,7.794444444
wright state univ,7.75
cyprus univ technol,7.7
lincoln univ,7.642857143
edith cowan univ,7.583333333
zayed univ,7.583333333
univ notre dame,7.583333333
myongji univ,7.533333333
wesleyan univ,7.516666667
univ roehampton,7.5
univ houston downtown,7.45
coll new jersey,7.433333333
butler univ,7.416666667
univ shanghai sci &amp; technol,7.416666667
univ complutense,7.4
bradley univ,7.392857143
univ louvain,7.366666667
univ east anglia,7.333333333
univ sunderland,7.333333333
jonkoping univ,7.333333333
gothenburg univ,7.333333333
canisius coll,7.316666667
north dakota state univ,7.266666667
grand valley state univ,7.25
goethe univ frankfurt,7.25
eastern kentucky univ,7.25
univ nova lisboa,7.183333333
illinois wesleyan univ,7.166666667
univ macedonia,7.166666667
western carolina univ,7.166666667
univ new brunswick,7.166666667
bi norwegian business sch,7.15
london business sch,7.142857143
univ texas el paso,7.088888889
univ aarhus,7.083333333
univ richmond,7.083333333
northern illinois univ,7.083333333
univ bielefeld,7.055555556
cuny queens coll,7.033333333
calif state univ fresno,7.033333333
inst social res,7
univ nijmegen,7
edinburgh napier univ,7
univ bedfordshire,7
univ fed minas gerais,6.944444444
max planck inst psycholinguist,6.933333333
microsoft res,6.916666667
bentley univ,6.9
cnrs,6.851190476
univ bucharest,6.834294872
izmir univ econ,6.833333333
univ vigo,6.833333333
salzburg univ,6.833333333
macau univ sci &amp; technol,6.75
calif state univ sacramento,6.733333333
csic,6.733333333
lehigh univ,6.676190476
alpen adria univ klagenfurt,6.621794872
univ scranton,6.533333333
univ a coruna,6.533333333
indiana state univ,6.5
helsinki sch econ,6.5
w chester univ,6.5
capital univ,6.5
univ nacl autonoma mexico,6.466666667
calif state univ,6.426190476
univ calif santa cruz,6.416666667
univ cantabria,6.416666667
univ s alabama,6.416666667
univ st thomas,6.408333333
univ politecn madrid,6.4
bentley coll,6.366666667
clark univ,6.340909091
allegheny coll,6.333333333
no kentucky univ,6.291666667
bryant univ,6.251190476
univ girona,6.25
st francis xavier univ,6.25
univ libre bruxelles,6.233333333
so polytech state univ,6.233333333
kutztown state univ,6.2
cuny bernard m baruch coll,6.166666667
swansea univ,6.166666667
suny coll oswego,6.166666667
texas a&amp;m int univ,6.083333333
sichuan univ,6.083333333
kennesaw state univ,6.05
univ plymouth,6.016666667
roskilde univ ctr,6
hong kong univ sci &amp; technol,6
salem state coll,6
roehampton univ,6
univ arts london,6
natl univ ireland maynooth,6
mem univ newfoundland,6
copenhagen sch econ &amp; business adm,5.95
austrian acad sci,5.917628205
nanjing univ,5.916666667
univ cattolica sacro cuore,5.916666667
univ gottingen,5.916666667
univ stockholm,5.916666667
univ nacl educ distancia,5.9
koc univ,5.892857143
univ no iowa,5.866666667
wuhan univ,5.852380952
cuny hunter coll,5.845238095
birmingham city univ,5.833333333
rey juan carlos univ,5.833333333
univ basel,5.761111111
hope coll,5.75
dublin inst technol,5.75
iit,5.75
montana state univ,5.733333333
keele univ,5.692857143
tech univ chemnitz,5.683333333
politecn milan,5.666666667
liverpool john moores univ,5.666666667
amer univ cairo,5.666666667
univ mississippi,5.65
trinity univ,5.642857143
north west univ,5.619047619
univ milano bicocca,5.6
south dakota state univ,5.583333333
regent univ,5.583333333
univ toronto mississauga,5.583333333
natl univ ireland univ coll cork,5.563095238
univ idaho,5.535714286
michigan technol univ,5.533333333
florida atlantic univ,5.533333333
univ keele,5.5
youngstown state univ,5.5
univ modena &amp; reggio emilia,5.5
univ n florida,5.5
jonkoping int business sch,5.5
georgia so univ,5.5
southern methodist univ,5.476190476
univ alcala de henares,5.45
univ fed rio de janeiro,5.366666667
univ tsukuba,5.366666667
univ hertfordshire,5.333333333
open univ israel,5.333333333
coastal carolina univ,5.30952381
berry coll,5.292857143
suny coll brockport,5.283333333
st josephs univ,5.277777778
univ novi sad,5.266666667
technion israel inst technol,5.25
univ los andes,5.25
natl univ ireland,5.233333333
jinan univ,5.2
univ la laguna,5.2
univ la sabana,5.183333333
johannes kepler univ linz,5.166666667
murray state univ,5.166666667
univ south australia,5.158333333
suny coll geneseo,5.092857143
brandeis univ,5.083333333
natl taipei univ,5.083333333
brunel univ london,5.083333333
interdisciplinary ctr idc herzliya,5.033333333
hang seng management coll,5.033333333
pepperdine univ,5
univ cadiz,5
oslo &amp; akershus univ,5
asia univ,5
maynooth univ,5
amer univ paris,5
karlsruhe inst technol,5
arizona state univ w,5
dalian univ technol,5
middlesex univ,4.966666667
ono acad coll,4.924242424
hec montreal,4.916666667
univ stellenbosch,4.916666667
tech univ munich,4.916666667
new jersey inst technol,4.916666667
amer univ beirut,4.916666667
univ toledo,4.911111111
univ florence,4.9
tech univ dresden,4.866666667
univ winchester,4.866666667
indian inst management,4.866666667
cent european univ,4.833333333
kadir has univ,4.833333333
istanbul bilgi univ,4.833333333
no michigan univ,4.80952381
univ norte,4.808333333
univ sci &amp; technol china,4.791666667
western sydney univ,4.791666667
univ aegean,4.783333333
ithaca coll,4.75
univ vic,4.75
rider univ,4.75
uned,4.733333333
trent univ,4.7
univ balearic isl,4.666666667
tatung univ,4.666666667
univ politecn valencia,4.666666667
univ castilla la mancha,4.666666667
univ publ navarra,4.666666667
seoul womens univ,4.666666667
univ trento,4.666666667
fox chase canc ctr,4.602453102
swedish univ agr sci,4.6
western kentucky univ,4.583333333
baylor coll med,4.564321789
univ tromso,4.533333333
univ puget sound,4.533333333
oslo &amp; akershus univ coll appl sci,4.5
natl taiwan normal univ,4.5
strathclyde business sch,4.5
univ lodz,4.5
liverpool hope univ,4.5
southwest jiaotong univ,4.5
columbia business sch,4.5
sintef ict,4.5
bath spa univ,4.5
univ extremadura,4.5
pusan natl univ,4.5
univ so queensland,4.5
univ lille,4.488888889
texas state univ san marcos,4.485714286
marist coll,4.453968254
data &amp; soc res inst,4.416666667
eastern michigan univ,4.416666667
london metropolitan univ,4.416666667
ankara univ,4.416666667
univ utara malaysia,4.4
gulf univ sci &amp; technol,4.392857143
univ udine,4.377777778
aberystwyth univ,4.333333333
tohoku univ,4.333333333
tech univ ilmenau,4.333333333
orebro univ,4.333333333
konkuk univ,4.333333333
merrimack coll,4.283333333
world bank,4.283333333
shenzhen univ,4.261904762
suny coll plattsburgh,4.257575758
seton hall univ,4.25
malmo univ,4.25
norwegian sch econ &amp; business adm,4.25
univ minnesota duluth,4.25
mayo clin,4.224242424
tampere univ,4.2
univ missouri columbia,4.2
univ colorado denver,4.183333333
tech univ berlin,4.183333333
univ louisiana lafayette,4.166666667
univ seoul,4.166666667
pomona coll,4.166666667
cent queensland univ,4.15
nhgri,4.131818182
ruhr univ bochum,4.125
interdisciplinary ctr herzliya,4.125
catholic univ amer,4.111111111
univ nebraska lincoln,4.088888889
kyoto univ,4.083333333
rowan univ,4.083333333
univ windsor,4.083333333
lakehead univ,4.083333333
coll wooster,4.083333333
mills coll,4.05952381
univ west england,4
bridgewater state univ,4
occidental coll,4
stevens inst technol,4
southwestern univ,4
univ new orleans,4
calif state univ san bernardino,4
univ coll swansea,4
acadia univ,4
univ philippines,4
trinity coll dublin,4
cent univ venezuela,4
univ louisiana,4
univ w florida,4
natl res univ higher sch econ,4
univ sassari,4
valdosta state univ,4
simmons coll,4
kth royal inst technol,4
politecn torino,3.986111111
babson coll,3.985714286
univ buffalo,3.95
inha univ,3.95
bowdoin coll,3.916666667
louisiana tech univ,3.916666667
middle e tech univ,3.916666667
univ so maine,3.916666667
univ texas md anderson canc ctr,3.902020202
incheon natl univ,3.866666667
univ rey juan carlos madrid,3.833333333
bilkent univ,3.833333333
univ maryland baltimore cty,3.833333333
univ med &amp; dent new jersey,3.833333333
univ ontario inst technol,3.833333333
acad educ dev,3.833333333
univ s dakota,3.833333333
univ west georgia,3.833333333
korea informat soc dev inst,3.833333333
natl yunlin univ sci &amp; technol,3.833333333
univ tubingen,3.816666667
la salle univ,3.80952381
indiana univ penn,3.791666667
max stern yezreel valley coll,3.783333333
pontificia univ catolica valparaiso,3.758333333
tamkang univ,3.75
sungshin womens univ,3.75
ne illinois univ,3.75
univ technol,3.75
univ kwazulu natal,3.75
ateneo manila univ,3.75
univ erlangen nurnberg,3.75
med coll wisconsin,3.728246753
stellenbosch univ,3.7
corvinus univ budapest,3.7
skidmore coll,3.666666667
hongik univ,3.666666667
lafayette coll,3.666666667
hacettepe univ,3.666666667
univ patras,3.666666667
royal netherlands acad arts &amp; sci,3.666666667
doshisha univ,3.666666667
macewan univ,3.666666667
univ cordoba,3.65
univ neuchatel,3.638888889
osaka univ,3.6
univ trieste,3.6
inst food res,3.583333333
oberlin coll,3.583333333
univ urbino carlo bo,3.583333333
diego portales univ,3.583333333
tecnol monterrey,3.583333333
heidelberg univ,3.583333333
queen margaret univ,3.566666667
univ bamberg,3.547619048
birkbeck univ london,3.535714286
st cloud state univ,3.533333333
univ nottingham ningbo china,3.533333333
univ belgrade,3.533333333
pohang univ sci &amp; technol,3.511904762
west texas a&amp;m univ,3.5
univ siegen,3.5
fcc,3.5
royal rd univ,3.5
univ coimbra,3.5
rikkyo univ,3.5
ctr invest &amp; docencia econ,3.5
univ wales,3.5
mori chile,3.5
robert morris univ,3.5
univ san andres,3.5
univ tampa,3.5
int telecommun union,3.5
dickinson coll,3.5
suny binghamton,3.5
tech univ denmark,3.5
univ algarve,3.5
georgia southern univ,3.5
lewis &amp; clark coll,3.5
management dev inst,3.5
univ no british columbia,3.5
inst demoskopie allensbach,3.5
univ munich lmu,3.5
southampton solent univ,3.5
univ gerona,3.5
penn state univ harrisburg,3.5
guangdong univ foreign studies,3.483333333
suny coll oneonta,3.476190476
pew res ctr,3.456349206
east carolina univ,3.428571429
seattle univ,3.416666667
vienna univ econ &amp; business,3.416666667
ajou univ,3.416666667
univ guadalajara,3.4
richard stockton coll new jersey,3.366666667
univ rennes,3.366666667
minnesota state univ,3.366666667
acad sinica,3.333333333
amherst coll,3.333333333
oxford brookes univ,3.333333333
univ wageningen &amp; res ctr,3.333333333
jordan univ sci &amp; technol,3.333333333
informat &amp; commun univ,3.333333333
univ trent,3.333333333
univ beira interior,3.333333333
sultan qaboos univ,3.333333333
angelo state univ,3.333333333
hokkaido univ,3.333333333
amer univ sharjah,3.333333333
univ north dakota,3.297619048
hungarian acad sci,3.288888889
klein buendel inc,3.254761905
oregon hlth &amp; sci univ,3.252020202
google inc,3.25
austin peay state univ,3.25
high point univ,3.25
bond univ,3.25
natl tsing hua univ,3.25
european investment bank,3.25
tata inst social sci,3.25
univ calif merced,3.25
univ south africa,3.208333333
forschungszentrum julich,3.2
suny coll environm sci &amp; forestry,3.2
uniformed serv univ hlth sci,3.2
suny coll cortland,3.166666667
ming chuan univ,3.166666667
texas a&amp;m univ corpus christi,3.166666667
augusta state univ,3.166666667
univ sci &amp; technol,3.166666667
univ basque country upv ehu,3.166666667
univ cyprus,3.166666667
suny coll fredonia,3.166666667
anglia ruskin univ,3.166666667
idaho state univ,3.142857143
univ ghana,3.125
us bur labor stat,3.116666667
abt associates inc,3.1
soongsil univ,3.083333333
univ ceu san pablo,3.083333333
natl yang ming univ,3.083333333
nielsen,3.055555556
res triangle inst,3.033333333
univ pacific,3.001190476
univ skovde,3
southern illinois univ carbondale,3
rhein westfal th aachen,3
avondale coll higher educ,3
ameritest,3
hellen mil acad,3
open univ hong kong,3
chiba univ,3
ferris state univ,3
us int univ africa,3
st johns univ,3
korea press fdn,3
univ washington tacoma,3
univ sorbonne nouvelle,3
univ burgundy,3
southeast missouri state univ,3
univ texas rio grande valley,3
st john fisher coll,3
univ quebec montreal,3
univ paisley,3
yeshiva univ,3
sophia univ,3
univ babes bolyai,3
keio univ,3
univ w georgia,3
toko univ,3
pacific lutheran univ,3
univ pisa,3
weber state univ,3
hanken sch econ,3
oslo &amp; akershus univ coll,3
s bank univ,3
univ catolica portuguesa,3
jawaharlal nehru univ,3
hampshire coll,3
oslo univ coll,3
univ n london,3
aoyama gakuin univ,3
eastern mediterranean univ,3
hague univ appl sci,3
univ deusto,3
univ santiago,2.976190476
athabasca univ,2.976190476
univ glamorgan,2.966666667
kwangwoon univ,2.95
hanover univ mus drama &amp; media,2.933333333
swiss fed inst technol,2.916666667
chatham univ,2.916666667
univ chester,2.916666667
heriot watt univ,2.916666667
natl univ ireland univ coll dublin,2.910714286
beijing normal univ,2.9
univ new england,2.875
univ lyon,2.866666667
natl cent univ,2.85
ursinus coll,2.833333333
kyonggi univ,2.833333333
univ newcastle upon tyne,2.833333333
stetson univ,2.833333333
chung hua univ,2.833333333
cide,2.833333333
sapir coll,2.833333333
univ portland,2.833333333
yasar univ,2.833333333
soochow univ,2.833333333
albright coll,2.833333333
eastern washington univ,2.833333333
laurentian univ,2.833333333
zeppelin univ,2.833333333
chinese acad sci,2.833333333
sk telecom,2.833333333
